"Type","Plate","MeanReads","MedianReads","SDReads","n","PercentOfSample"
"EXTBLANK","1",38.5,154,NA,4,0.07
"MOCK","1",317901,317901,NA,1,595.04
"SAMPLE","1",53425.19,12830,134347.14,69,100
"PCRBLANK","1",184,184,257.39,2,0.34
